Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Italy,European Region of WHO,South West Europe,2010,40,10/4/2010,10/10/2010,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2010,41,10/11/2010,10/17/2010,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2010,42,10/18/2010,10/24/2010,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2010,43,10/25/2010,10/31/2010,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2010,44,11/1/2010,11/7/2010,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2010,45,11/8/2010,11/14/2010,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2010,46,11/15/2010,11/21/2010,21,21,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Italy,European Region of WHO,South West Europe,2010,47,11/22/2010,11/28/2010,73,73,0,3,0,0,1,4,0,0,2,2,6,,Sporadic
Italy,European Region of WHO,South West Europe,2010,48,11/29/2010,12/5/2010,,75,0,3,0,0,0,3,0,1,1,2,5,,Sporadic
Italy,European Region of WHO,South West Europe,2010,49,12/6/2010,12/12/2010,,71,0,0,1,0,0,1,0,1,0,1,2,,Sporadic
Italy,European Region of WHO,South West Europe,2010,50,12/13/2010,12/19/2010,92,92,0,4,4,0,0,8,0,0,6,6,14,,Sporadic
Italy,European Region of WHO,South West Europe,2010,51,12/20/2010,12/26/2010,,73,0,8,0,,2,10,0,1,7,8,18,,No Report
Italy,European Region of WHO,South West Europe,2010,52,12/27/2010,1/2/2011,84,84,0,17,1,0,5,23,0,1,7,8,31,,Sporadic
Italy,European Region of WHO,South West Europe,2011,1,1/3/2011,1/9/2011,319,319,0,75,0,0,4,79,19,0,9,28,107,,Local Outbreak
Italy,European Region of WHO,South West Europe,2011,2,1/10/2011,1/16/2011,712,712,0,152,4,0,22,178,0,0,37,37,215,,Local Outbreak
Italy,European Region of WHO,South West Europe,2011,3,1/17/2011,1/23/2011,906,906,0,263,8,0,31,302,0,0,64,64,366,,Local Outbreak
Italy,European Region of WHO,South West Europe,2011,4,1/24/2011,1/30/2011,847,847,0,765,2,0,22,789,0,0,76,76,865,,Regional Outbreak
Italy,European Region of WHO,South West Europe,2011,5,1/31/2011,2/6/2011,803,803,0,204,8,0,28,240,0,0,91,91,331,,Regional Outbreak
Italy,European Region of WHO,South West Europe,2011,6,2/7/2011,2/13/2011,870,870,0,230,3,0,23,256,0,0,93,93,349,,Regional Outbreak
Italy,European Region of WHO,South West Europe,2011,7,2/14/2011,2/20/2011,654,654,0,103,6,0,28,137,0,0,90,90,227,,Local Outbreak
Italy,European Region of WHO,South West Europe,2011,8,2/21/2011,2/27/2011,582,582,0,81,4,0,8,93,0,0,42,42,135,,Local Outbreak
Italy,European Region of WHO,South West Europe,2011,9,2/28/2011,3/6/2011,426,426,0,56,5,0,4,65,0,0,20,20,85,,Local Outbreak
Italy,European Region of WHO,South West Europe,2011,10,3/7/2011,3/13/2011,369,369,0,42,1,0,5,48,0,0,18,18,66,,Local Outbreak
Italy,European Region of WHO,South West Europe,2011,11,3/14/2011,3/20/2011,244,244,0,4,0,0,6,10,0,0,7,7,17,,Sporadic
Italy,European Region of WHO,South West Europe,2011,12,3/21/2011,3/27/2011,163,163,0,4,0,0,2,6,0,0,2,2,8,,Sporadic
Italy,European Region of WHO,South West Europe,2011,13,3/28/2011,4/3/2011,163,163,0,2,0,0,0,2,0,0,1,1,3,,Sporadic
Italy,European Region of WHO,South West Europe,2011,14,4/4/2011,4/10/2011,101,101,0,2,1,0,2,5,0,0,0,0,5,,Sporadic
Italy,European Region of WHO,South West Europe,2011,15,4/11/2011,4/17/2011,,85,0,3,0,,0,3,0,0,2,2,5,,Regional Outbreak
Italy,European Region of WHO,South West Europe,2011,16,4/18/2011,4/24/2011,45,45,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Italy,European Region of WHO,South West Europe,2011,17,4/25/2011,5/1/2011,15,15,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Italy,European Region of WHO,South West Europe,2011,18,5/2/2011,5/8/2011,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2011,19,5/9/2011,5/15/2011,,,,,,,,,,,,,,,No Report
